mw repi rjb rhypo width length depth dip rake strike ztor azimuth rx ry0 rrup vs30 vs30measured ec8_code
6.1 276.8 261.16 276.92441206943096 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 307.8 -206.35688303203523 160.06680613201146 261.16 800 True A
6.1 225.0 209.1 225.15303684383207 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 289.2 -197.4690990166573 68.76601583303763 209.1 800 True A
6.1 224.0 208.06 224.15371957654418 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 291.4 -193.71547304835767 75.91626374928508 208.06 815.0 False A
6.1 188.6 172.78 188.782546862786 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 287.8 -164.50891647798673 52.818034791525406 172.78 800.0 False A
6.1 236.6 218.5 236.7906459301127 11.0 34.0 9.5 40.0 90.0 114.0 1.0 325.8 -122.81521806069046 180.71710547899184 218.65 800 True A
6.0 241.3 234.14 241.43490820508953 12.0 22.0 8.07 60.0 90.0 95.0 3.7 321.9 -144.472779805455 184.25296604202742 234.57 800 True A
6.9 65.4 34.93 67.0981370829325 15.0 35.0 15.0 60.0 -90.0 315.0 2.2 150.3 18.84379761279502 33.03669407976449 37.4 849.0 False A
6.0 256.4 247.71 256.52791271126813 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 320.8 -156.5599785631103 191.9614992969123 247.71 800 True A
6.5 274.2 256.43 274.35429648540224 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 321.3 -160.33097436416486 200.1257693537679 256.43 800 True A
6.1 226.4 208.18 226.5992277127175 11.0 34.0 9.5 40.0 90.0 114.0 1.0 324.2 -121.77648877883857 168.84726583719794 208.34 800 True A
6.0 231.6 224.25 231.74055514734576 12.0 22.0 8.07 60.0 90.0 95.0 3.7 320.2 -143.54460010950135 172.28758016584752 224.7 800 True A
6.1 127.8 117.28 128.1526043434155 11.0 34.0 9.5 40.0 90.0 114.0 1.0 52.9 98.81317790488256 74.73181950207251 117.56 800 True A
6.1 135.1 119.46 135.43359996692107 11.0 34.0 9.5 40.0 90.0 114.0 1.0 341.0 -38.89237173145194 112.95164904109438 119.73 1000.0 False A
6.1 113.4 99.91 113.79723195227554 11.0 34.0 9.5 40.0 90.0 114.0 1.0 349.8 -17.692536405329548 98.33098319220696 100.24 1000.0 False A
6.1 191.9 177.42 192.13500461914794 11.0 34.0 9.5 40.0 90.0 114.0 1.0 73.6 177.94093888166745 52.37086631613682 177.6 1152.0 False A
6.1 222.1 206.97 222.30308140014614 11.0 34.0 9.5 40.0 90.0 114.0 1.0 249.4 -193.7362421118953 72.82066597032114 206.98 800 True A
6.1 74.3 63.88 74.9048730056997 11.0 34.0 9.5 40.0 90.0 114.0 1.0 175.1 5.476447844813785 63.879999999999995 63.89 800 True A
6.1 112.3 108.17 112.70110913385014 11.0 34.0 9.5 40.0 90.0 114.0 1.0 206.7 -48.60283608028151 96.6359830754222 108.17 800 True A
6.1 429.2 411.37 429.30512459089044 11.0 34.0 9.5 40.0 90.0 114.0 1.0 329.5 -208.7860563711449 354.44838773083046 411.45 800 True A
